"","HHID","ea_id","FCS","HDDS","rCSI","rural","FS_year","FS_month","hhweight","lat_modified","lon_modified","round"
"208","101026210128","10102621",30,3,0,1,2011,2,61.9524002075195,-9.71323013305664,33.4519996643066,2010
"209","101034140003","10103414",29.5,3,0,1,2010,5,140.862197875977,-9.97159957885742,33.3739013671875,2010
"210","101034140009","10103414",33,4,28,1,2010,5,140.862197875977,-9.97159957885742,33.3739013671875,2010
"211","101034140020","10103414",48,7,0,1,2010,5,140.862197875977,-9.97159957885742,33.3739013671875,2010
"212","101034140025","10103414",31.5,5,0,1,2010,5,140.862197875977,-9.97159957885742,33.3739013671875,2010
"213","101034140031","10103414",69,7,0,1,2010,5,140.862197875977,-9.97159957885742,33.3739013671875,2010
"214","101034140042","10103414",41,5,0,1,2010,5,140.862197875977,-9.97159957885742,33.3739013671875,2010
"215","101034140047","10103414",53,6,22,1,2010,5,140.862197875977,-9.97159957885742,33.3739013671875,2010
"216","101034140053","10103414",23,4,0,1,2010,5,140.862197875977,-9.97159957885742,33.3739013671875,2010
"217","101034140064","10103414",31,4,0,1,2010,5,140.862197875977,-9.97159957885742,33.3739013671875,2010
"218","101034140069","10103414",36,5,18,1,2010,5,140.862197875977,-9.97159957885742,33.3739013671875,2010
"219","101034140075","10103414",82,7,0,1,2010,5,140.862197875977,-9.97159957885742,33.3739013671875,2010
"220","101034140086","10103414",47,6,0,1,2010,5,140.862197875977,-9.97159957885742,33.3739013671875,2010
"221","101034140091","10103414",36,5,0,1,2010,5,140.862197875977,-9.97159957885742,33.3739013671875,2010
"222","101034140097","10103414",23,4,6,1,2010,5,140.862197875977,-9.97159957885742,33.3739013671875,2010
"223","101034140108","10103414",47.5,6,0,1,2010,5,140.862197875977,-9.97159957885742,33.3739013671875,2010
"224","101034140114","10103414",28,5,0,1,2010,5,140.862197875977,-9.97159957885742,33.3739013671875,2010
"225","101034520001","10103452",25.5,4,0,1,2010,11,53.3851013183594,-10.0370998382568,33.4541015625,2010
"226","101034520003","10103452",49,4,3,1,2010,12,53.3851013183594,-10.0370998382568,33.4541015625,2010
"227","101034520005","10103452",50.5,6,4,1,2010,12,53.3851013183594,-10.0370998382568,33.4541015625,2010
"228","101034520007","10103452",72.5,6,0,1,2010,11,53.3851013183594,-10.0370998382568,33.4541015625,2010
"229","101034520009","10103452",59,5,1,1,2010,12,53.3851013183594,-10.0370998382568,33.4541015625,2010
"230","101034520011","10103452",47,6,0,1,2010,12,53.3851013183594,-10.0370998382568,33.4541015625,2010
